"";"serie";"fecha";"valor";"año";"trimestre";"mes";"dato";"con_dato";"fecha_union"
"1";"PIB a precios corrientes";"2013-3-1";33443;2013;1;3;"pib";NA;2025-07-05
"2";"PIB a precios corrientes";"2013-6-1";33911;2013;2;6;"pib";NA;2025-07-05
"3";"PIB a precios corrientes";"2013-9-1";32986;2013;3;9;"pib";NA;2025-07-05
"4";"PIB a precios corrientes";"2013-12-1";36969;2013;4;12;"pib";NA;2025-07-05
"5";"PIB a precios corrientes";"2014-3-1";36033;2014;1;3;"pib";NA;2025-07-05
"6";"PIB a precios corrientes";"2014-6-1";36556;2014;2;6;"pib";NA;2025-07-05
"7";"PIB a precios corrientes";"2014-9-1";35390;2014;3;9;"pib";NA;2025-07-05
"8";"PIB a precios corrientes";"2014-12-1";39973;2014;4;12;"pib";NA;2025-07-05
"9";"PIB a precios corrientes";"2015-3-1";39272;2015;1;3;"pib";NA;2025-07-05
"10";"PIB a precios corrientes";"2015-6-1";39194;2015;2;6;"pib";NA;2025-07-05
"11";"PIB a precios corrientes";"2015-9-1";37973;2015;3;9;"pib";NA;2025-07-05
"12";"PIB a precios corrientes";"2015-12-1";42183;2015;4;12;"pib";NA;2025-07-05
"13";"PIB a precios corrientes";"2016-3-1";42082;2016;1;3;"pib";NA;2025-07-05
"14";"PIB a precios corrientes";"2016-6-1";41215;2016;2;6;"pib";NA;2025-07-05
"15";"PIB a precios corrientes";"2016-9-1";40593;2016;3;9;"pib";NA;2025-07-05
"16";"PIB a precios corrientes";"2016-12-1";44875;2016;4;12;"pib";NA;2025-07-05
"17";"PIB a precios corrientes";"2017-3-1";43549;2017;1;3;"pib";NA;2025-07-05
"18";"PIB a precios corrientes";"2017-6-1";43858;2017;2;6;"pib";NA;2025-07-05
"19";"PIB a precios corrientes";"2017-9-1";43564;2017;3;9;"pib";NA;2025-07-05
"20";"PIB a precios corrientes";"2017-12-1";48344;2017;4;12;"pib";NA;2025-07-05
"21";"PIB a precios corrientes";"2018-3-1";46992;2018;1;3;"pib";NA;2025-07-05
"22";"PIB a precios corrientes";"2018-6-1";47030;2018;2;6;"pib";NA;2025-07-05
"23";"PIB a precios corrientes";"2018-9-1";45028;2018;3;9;"pib";NA;2025-07-05
"24";"PIB a precios corrientes";"2018-12-1";50385;2018;4;12;"pib";NA;2025-07-05
"25";"PIB a precios corrientes";"2019-3-1";48525;2019;1;3;"pib";NA;2025-07-05
"26";"PIB a precios corrientes";"2019-6-1";48507;2019;2;6;"pib";NA;2025-07-05
"27";"PIB a precios corrientes";"2019-9-1";47432;2019;3;9;"pib";NA;2025-07-05
"28";"PIB a precios corrientes";"2019-12-1";51068;2019;4;12;"pib";NA;2025-07-05
