"";"serie";"fecha";"año";"mes";"valor";"fecha_scraping"
"1";"Inversión extranjera directa (pasivos)";"2003-1-1";2003;1;600,17375845711;2024-07-10
"2";"Inversión extranjera directa (pasivos)";"2003-2-1";2003;2;357,016149982226;2024-07-10
"3";"Inversión extranjera directa (pasivos)";"2003-3-1";2003;3;208,352952883904;2024-07-10
"4";"Inversión extranjera directa (pasivos)";"2003-4-1";2003;4;415,354859815014;2024-07-10
"5";"Inversión extranjera directa (pasivos)";"2003-5-1";2003;5;300,63004825212;2024-07-10
"6";"Inversión extranjera directa (pasivos)";"2003-6-1";2003;6;403,885189587901;2024-07-10
"7";"Inversión extranjera directa (pasivos)";"2003-7-1";2003;7;372,296292363173;2024-07-10
"8";"Inversión extranjera directa (pasivos)";"2003-8-1";2003;8;378,643560722004;2024-07-10
"9";"Inversión extranjera directa (pasivos)";"2003-9-1";2003;9;142,428650163666;2024-07-10
"10";"Inversión extranjera directa (pasivos)";"2003-10-1";2003;10;13,9150520936702;2024-07-10
"11";"Inversión extranjera directa (pasivos)";"2003-11-1";2003;11;11,0544450422757;2024-07-10
"12";"Inversión extranjera directa (pasivos)";"2003-12-1";2003;12;281,977462387204;2024-07-10
"13";"Inversión extranjera directa (pasivos)";"2004-1-1";2004;1;252,085151457021;2024-07-10
"14";"Inversión extranjera directa (pasivos)";"2004-2-1";2004;2;645,113286829611;2024-07-10
"15";"Inversión extranjera directa (pasivos)";"2004-3-1";2004;3;460,39236310266;2024-07-10
"16";"Inversión extranjera directa (pasivos)";"2004-4-1";2004;4;365,23731805337;2024-07-10
"17";"Inversión extranjera directa (pasivos)";"2004-5-1";2004;5;-82,5692568242272;2024-07-10
"18";"Inversión extranjera directa (pasivos)";"2004-6-1";2004;6;-84,6902993542675;2024-07-10
"19";"Inversión extranjera directa (pasivos)";"2004-7-1";2004;7;1778,54132731414;2024-07-10
"20";"Inversión extranjera directa (pasivos)";"2004-8-1";2004;8;489,110977758383;2024-07-10
