"";"serie";"fecha";"valor";"año";"mes";"fecha_scraping"
"1";"Índice IPC General";"2009-12-1";57,31;2009;12;2026-01-31
"2";"Índice IPC General";"2010-1-1";57,61;2010;1;2026-01-31
"3";"Índice IPC General";"2010-2-1";57,77;2010;2;2026-01-31
"4";"Índice IPC General";"2010-3-1";57,82;2010;3;2026-01-31
"5";"Índice IPC General";"2010-4-1";58,09;2010;4;2026-01-31
"6";"Índice IPC General";"2010-5-1";58,3;2010;5;2026-01-31
"7";"Índice IPC General";"2010-6-1";58,3;2010;6;2026-01-31
"8";"Índice IPC General";"2010-7-1";58,67;2010;7;2026-01-31
"9";"Índice IPC General";"2010-8-1";58,62;2010;8;2026-01-31
"10";"Índice IPC General";"2010-9-1";58,85;2010;9;2026-01-31
"11";"Índice IPC General";"2010-10-1";58,91;2010;10;2026-01-31
"12";"Índice IPC General";"2010-11-1";58,95;2010;11;2026-01-31
"13";"Índice IPC General";"2010-12-1";59,02;2010;12;2026-01-31
"14";"Índice IPC General";"2011-1-1";59,18;2011;1;2026-01-31
"15";"Índice IPC General";"2011-2-1";59,31;2011;2;2026-01-31
"16";"Índice IPC General";"2011-3-1";59,77;2011;3;2026-01-31
"17";"Índice IPC General";"2011-4-1";59,96;2011;4;2026-01-31
"18";"Índice IPC General";"2011-5-1";60,2;2011;5;2026-01-31
"19";"Índice IPC General";"2011-6-1";60,3;2011;6;2026-01-31
"20";"Índice IPC General";"2011-7-1";60,38;2011;7;2026-01-31
"21";"Índice IPC General";"2011-8-1";60,47;2011;8;2026-01-31
"22";"Índice IPC General";"2011-9-1";60,78;2011;9;2026-01-31
"23";"Índice IPC General";"2011-10-1";61,07;2011;10;2026-01-31
"24";"Índice IPC General";"2011-11-1";61,26;2011;11;2026-01-31
"25";"Índice IPC General";"2011-12-1";61,64;2011;12;2026-01-31
"26";"Índice IPC General";"2012-1-1";61,69;2012;1;2026-01-31
"27";"Índice IPC General";"2012-2-1";61,93;2012;2;2026-01-31
"28";"Índice IPC General";"2012-3-1";62,03;2012;3;2026-01-31
"29";"Índice IPC General";"2012-4-1";62,06;2012;4;2026-01-31
"30";"Índice IPC General";"2012-5-1";62,08;2012;5;2026-01-31
"31";"Índice IPC General";"2012-6-1";61,9;2012;6;2026-01-31
"32";"Índice IPC General";"2012-7-1";61,89;2012;7;2026-01-31
"33";"Índice IPC General";"2012-8-1";62,03;2012;8;2026-01-31
"34";"Índice IPC General";"2012-9-1";62,5;2012;9;2026-01-31
"35";"Índice IPC General";"2012-10-1";62,85;2012;10;2026-01-31
"36";"Índice IPC General";"2012-11-1";62,57;2012;11;2026-01-31
"37";"Índice IPC General";"2012-12-1";62,55;2012;12;2026-01-31
"38";"Índice IPC General";"2013-1-1";62,67;2013;1;2026-01-31
"39";"Índice IPC General";"2013-2-1";62,74;2013;2;2026-01-31
"40";"Índice IPC General";"2013-3-1";62,98;2013;3;2026-01-31
"41";"Índice IPC General";"2013-4-1";62,68;2013;4;2026-01-31
"42";"Índice IPC General";"2013-5-1";62,67;2013;5;2026-01-31
"43";"Índice IPC General";"2013-6-1";63,07;2013;6;2026-01-31
"44";"Índice IPC General";"2013-7-1";63,24;2013;7;2026-01-31
"45";"Índice IPC General";"2013-8-1";63,39;2013;8;2026-01-31
"46";"Índice IPC General";"2013-9-1";63,73;2013;9;2026-01-31
"47";"Índice IPC General";"2013-10-1";63,82;2013;10;2026-01-31
"48";"Índice IPC General";"2013-11-1";64,06;2013;11;2026-01-31
"49";"Índice IPC General";"2013-12-1";64,44;2013;12;2026-01-31
"50";"Índice IPC General";"2014-1-1";64,56;2014;1;2026-01-31
"51";"Índice IPC General";"2014-2-1";64,87;2014;2;2026-01-31
"52";"Índice IPC General";"2014-3-1";65,41;2014;3;2026-01-31
"53";"Índice IPC General";"2014-4-1";65,82;2014;4;2026-01-31
"54";"Índice IPC General";"2014-5-1";66,04;2014;5;2026-01-31
"55";"Índice IPC General";"2014-6-1";66,08;2014;6;2026-01-31
"56";"Índice IPC General";"2014-7-1";66,23;2014;7;2026-01-31
"57";"Índice IPC General";"2014-8-1";66,44;2014;8;2026-01-31
"58";"Índice IPC General";"2014-9-1";67;2014;9;2026-01-31
"59";"Índice IPC General";"2014-10-1";67,7;2014;10;2026-01-31
"60";"Índice IPC General";"2014-11-1";67,71;2014;11;2026-01-31
"61";"Índice IPC General";"2014-12-1";67,43;2014;12;2026-01-31
"62";"Índice IPC General";"2015-1-1";67,49;2015;1;2026-01-31
"63";"Índice IPC General";"2015-2-1";67,72;2015;2;2026-01-31
"64";"Índice IPC General";"2015-3-1";68,15;2015;3;2026-01-31
"65";"Índice IPC General";"2015-4-1";68,54;2015;4;2026-01-31
"66";"Índice IPC General";"2015-5-1";68,66;2015;5;2026-01-31
"67";"Índice IPC General";"2015-6-1";69;2015;6;2026-01-31
"68";"Índice IPC General";"2015-7-1";69,29;2015;7;2026-01-31
"69";"Índice IPC General";"2015-8-1";69,76;2015;8;2026-01-31
"70";"Índice IPC General";"2015-9-1";70,11;2015;9;2026-01-31
"71";"Índice IPC General";"2015-10-1";70,4;2015;10;2026-01-31
"72";"Índice IPC General";"2015-11-1";70,38;2015;11;2026-01-31
"73";"Índice IPC General";"2015-12-1";70,39;2015;12;2026-01-31
"74";"Índice IPC General";"2016-1-1";70,72;2016;1;2026-01-31
"75";"Índice IPC General";"2016-2-1";70,91;2016;2;2026-01-31
"76";"Índice IPC General";"2016-3-1";71,18;2016;3;2026-01-31
"77";"Índice IPC General";"2016-4-1";71,42;2016;4;2026-01-31
"78";"Índice IPC General";"2016-5-1";71,58;2016;5;2026-01-31
"79";"Índice IPC General";"2016-6-1";71,9;2016;6;2026-01-31
"80";"Índice IPC General";"2016-7-1";72,07;2016;7;2026-01-31
"81";"Índice IPC General";"2016-8-1";72,11;2016;8;2026-01-31
"82";"Índice IPC General";"2016-9-1";72,28;2016;9;2026-01-31
"83";"Índice IPC General";"2016-10-1";72,4;2016;10;2026-01-31
"84";"Índice IPC General";"2016-11-1";72,44;2016;11;2026-01-31
"85";"Índice IPC General";"2016-12-1";72,29;2016;12;2026-01-31
"86";"Índice IPC General";"2017-1-1";72,68;2017;1;2026-01-31
"87";"Índice IPC General";"2017-2-1";72,86;2017;2;2026-01-31
"88";"Índice IPC General";"2017-3-1";73,14;2017;3;2026-01-31
"89";"Índice IPC General";"2017-4-1";73,31;2017;4;2026-01-31
"90";"Índice IPC General";"2017-5-1";73,4;2017;5;2026-01-31
"91";"Índice IPC General";"2017-6-1";73,12;2017;6;2026-01-31
"92";"Índice IPC General";"2017-7-1";73,29;2017;7;2026-01-31
"93";"Índice IPC General";"2017-8-1";73,44;2017;8;2026-01-31
"94";"Índice IPC General";"2017-9-1";73,33;2017;9;2026-01-31
"95";"Índice IPC General";"2017-10-1";73,76;2017;10;2026-01-31
"96";"Índice IPC General";"2017-11-1";73,83;2017;11;2026-01-31
"97";"Índice IPC General";"2017-12-1";73,93;2017;12;2026-01-31
"98";"Índice IPC General";"2018-1-1";74,27;2018;1;2026-01-31
"99";"Índice IPC General";"2018-2-1";74,31;2018;2;2026-01-31
"100";"Índice IPC General";"2018-3-1";74,46;2018;3;2026-01-31
"101";"Índice IPC General";"2018-4-1";74,7;2018;4;2026-01-31
