"";"serie";"fecha";"valor";"año";"mes";"fecha_scraping"
"1";"IPSA (índice enero 2003=1000)";"2010-1-1";3752;2010;1;2026-09-26
"2";"IPSA (índice enero 2003=1000)";"2010-2-1";3802,9;2010;2;2026-09-26
"3";"IPSA (índice enero 2003=1000)";"2010-3-1";3779,2;2010;3;2026-09-26
"4";"IPSA (índice enero 2003=1000)";"2010-4-1";3828,9;2010;4;2026-09-26
"5";"IPSA (índice enero 2003=1000)";"2010-5-1";3828;2010;5;2026-09-26
"6";"IPSA (índice enero 2003=1000)";"2010-6-1";3997,2;2010;6;2026-09-26
"7";"IPSA (índice enero 2003=1000)";"2010-7-1";4222,3;2010;7;2026-09-26
"8";"IPSA (índice enero 2003=1000)";"2010-8-1";4468,1;2010;8;2026-09-26
"9";"IPSA (índice enero 2003=1000)";"2010-9-1";4726,4;2010;9;2026-09-26
"10";"IPSA (índice enero 2003=1000)";"2010-10-1";4783,5;2010;10;2026-09-26
"11";"IPSA (índice enero 2003=1000)";"2010-11-1";4972,3;2010;11;2026-09-26
"12";"IPSA (índice enero 2003=1000)";"2010-12-1";4942,3;2010;12;2026-09-26
"13";"IPSA (índice enero 2003=1000)";"2011-1-1";4885,5;2011;1;2026-09-26
"14";"IPSA (índice enero 2003=1000)";"2011-2-1";4497,5;2011;2;2026-09-26
"15";"IPSA (índice enero 2003=1000)";"2011-3-1";4465,2;2011;3;2026-09-26
"16";"IPSA (índice enero 2003=1000)";"2011-4-1";4718,3;2011;4;2026-09-26
"17";"IPSA (índice enero 2003=1000)";"2011-5-1";4827,9;2011;5;2026-09-26
"18";"IPSA (índice enero 2003=1000)";"2011-6-1";4730,4;2011;6;2026-09-26
"19";"IPSA (índice enero 2003=1000)";"2011-7-1";4663,6;2011;7;2026-09-26
"20";"IPSA (índice enero 2003=1000)";"2011-8-1";4177,9;2011;8;2026-09-26
"21";"IPSA (índice enero 2003=1000)";"2011-9-1";4033,3;2011;9;2026-09-26
"22";"IPSA (índice enero 2003=1000)";"2011-10-1";4015,3;2011;10;2026-09-26
"23";"IPSA (índice enero 2003=1000)";"2011-11-1";4219,8;2011;11;2026-09-26
"24";"IPSA (índice enero 2003=1000)";"2011-12-1";4157,9;2011;12;2026-09-26
"25";"IPSA (índice enero 2003=1000)";"2012-1-1";4219,7;2012;1;2026-09-26
"26";"IPSA (índice enero 2003=1000)";"2012-2-1";4451,5;2012;2;2026-09-26
"27";"IPSA (índice enero 2003=1000)";"2012-3-1";4582,5;2012;3;2026-09-26
"28";"IPSA (índice enero 2003=1000)";"2012-4-1";4576,5;2012;4;2026-09-26
