"";"serie";"fecha";"valor";"año";"mes";"fecha_scraping"
"1";"Unidad de fomento (UF)";"2010-1-1";20899,82;2010;1;2025-09-04
"2";"Unidad de fomento (UF)";"2010-2-1";20877,51;2010;2;2025-09-04
"3";"Unidad de fomento (UF)";"2010-3-1";20966,13;2010;3;2025-09-04
"4";"Unidad de fomento (UF)";"2010-4-1";21019,75;2010;4;2025-09-04
"5";"Unidad de fomento (UF)";"2010-5-1";21064,65;2010;5;2025-09-04
"6";"Unidad de fomento (UF)";"2010-6-1";21160,6;2010;6;2025-09-04
"7";"Unidad de fomento (UF)";"2010-7-1";21224,29;2010;7;2025-09-04
"8";"Unidad de fomento (UF)";"2010-8-1";21261,05;2010;8;2025-09-04
"9";"Unidad de fomento (UF)";"2010-9-1";21344,51;2010;9;2025-09-04
"10";"Unidad de fomento (UF)";"2010-10-1";21356,86;2010;10;2025-09-04
"11";"Unidad de fomento (UF)";"2010-11-1";21421,11;2010;11;2025-09-04
"12";"Unidad de fomento (UF)";"2010-12-1";21445,15;2010;12;2025-09-04
"13";"Unidad de fomento (UF)";"2011-1-1";21466,63;2011;1;2025-09-04
"14";"Unidad de fomento (UF)";"2011-2-1";21497,96;2011;2;2025-09-04
"15";"Unidad de fomento (UF)";"2011-3-1";21556,35;2011;3;2025-09-04
"16";"Unidad de fomento (UF)";"2011-4-1";21633,36;2011;4;2025-09-04
"17";"Unidad de fomento (UF)";"2011-5-1";21773,99;2011;5;2025-09-04
"18";"Unidad de fomento (UF)";"2011-6-1";21848,67;2011;6;2025-09-04
"19";"Unidad de fomento (UF)";"2011-7-1";21924,28;2011;7;2025-09-04
"20";"Unidad de fomento (UF)";"2011-8-1";21964,1;2011;8;2025-09-04
"21";"Unidad de fomento (UF)";"2011-9-1";21992,35;2011;9;2025-09-04
"22";"Unidad de fomento (UF)";"2011-10-1";22053,13;2011;10;2025-09-04
"23";"Unidad de fomento (UF)";"2011-11-1";22160,11;2011;11;2025-09-04
"24";"Unidad de fomento (UF)";"2011-12-1";22259,95;2011;12;2025-09-04
"25";"Unidad de fomento (UF)";"2012-1-1";22346,12;2012;1;2025-09-04
"26";"Unidad de fomento (UF)";"2012-2-1";22447,54;2012;2;2025-09-04
"27";"Unidad de fomento (UF)";"2012-3-1";22492,5;2012;3;2025-09-04
"28";"Unidad de fomento (UF)";"2012-4-1";22567,73;2012;4;2025-09-04
"29";"Unidad de fomento (UF)";"2012-5-1";22608,96;2012;5;2025-09-04
"30";"Unidad de fomento (UF)";"2012-6-1";22626,49;2012;6;2025-09-04
"31";"Unidad de fomento (UF)";"2012-7-1";22609,47;2012;7;2025-09-04
"32";"Unidad de fomento (UF)";"2012-8-1";22562,02;2012;8;2025-09-04
"33";"Unidad de fomento (UF)";"2012-9-1";22571,05;2012;9;2025-09-04
"34";"Unidad de fomento (UF)";"2012-10-1";22650,36;2012;10;2025-09-04
"35";"Unidad de fomento (UF)";"2012-11-1";22813,45;2012;11;2025-09-04
"36";"Unidad de fomento (UF)";"2012-12-1";22886,63;2012;12;2025-09-04
"37";"Unidad de fomento (UF)";"2013-1-1";22811,83;2013;1;2025-09-04
"38";"Unidad de fomento (UF)";"2013-2-1";22818,59;2013;2;2025-09-04
"39";"Unidad de fomento (UF)";"2013-3-1";22857,28;2013;3;2025-09-04
"40";"Unidad de fomento (UF)";"2013-4-1";22898,59;2013;4;2025-09-04
"41";"Unidad de fomento (UF)";"2013-5-1";22933,69;2013;5;2025-09-04
"42";"Unidad de fomento (UF)";"2013-6-1";22857,11;2013;6;2025-09-04
"43";"Unidad de fomento (UF)";"2013-7-1";22888,71;2013;7;2025-09-04
"44";"Unidad de fomento (UF)";"2013-8-1";23002,78;2013;8;2025-09-04
"45";"Unidad de fomento (UF)";"2013-9-1";23067,92;2013;9;2025-09-04
"46";"Unidad de fomento (UF)";"2013-10-1";23133,47;2013;10;2025-09-04
"47";"Unidad de fomento (UF)";"2013-11-1";23221,88;2013;11;2025-09-04
"48";"Unidad de fomento (UF)";"2013-12-1";23267,17;2013;12;2025-09-04
"49";"Unidad de fomento (UF)";"2014-1-1";23369,91;2014;1;2025-09-04
"50";"Unidad de fomento (UF)";"2014-2-1";23482,16;2014;2;2025-09-04
"51";"Unidad de fomento (UF)";"2014-3-1";23552,54;2014;3;2025-09-04
"52";"Unidad de fomento (UF)";"2014-4-1";23685,06;2014;4;2025-09-04
"53";"Unidad de fomento (UF)";"2014-5-1";23860,55;2014;5;2025-09-04
"54";"Unidad de fomento (UF)";"2014-6-1";23986,19;2014;6;2025-09-04
"55";"Unidad de fomento (UF)";"2014-7-1";24048,75;2014;7;2025-09-04
