"DTI_CL_INDICADOR","Indicador","DTI_CL_ANO","Año","DTI_CL_REGION","Región","DTI_CL_SEXO","Sexo","Value","Flag Codes","Flags"
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2010","2010","_T","Total país","_T","Ambos sexos",283300.021643548,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2010","2010","_T","Total país","M","Hombres",321931.842776759,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2010","2010","_T","Total país","F","Mujeres",244835.650393361,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2010","2010","CHL15","Región de Arica y Parinacota","_T","Ambos sexos",257721.73725617,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2010","2010","CHL15","Región de Arica y Parinacota","M","Hombres",321931.842776759,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2010","2010","CHL15","Región de Arica y Parinacota","F","Mujeres",198639.949605128,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2010","2010","CHL01","Región de Tarapacá","_T","Ambos sexos",309568.752631368,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2010","2010","CHL01","Región de Tarapacá","M","Hombres",386582.605884255,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2010","2010","CHL01","Región de Tarapacá","F","Mujeres",232176.564473526,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2010","2010","CHL02","Región de Antofagasta","_T","Ambos sexos",450704.579887463,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2010","2010","CHL02","Región de Antofagasta","M","Hombres",528846.619078587,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2010","2010","CHL02","Región de Antofagasta","F","Mujeres",309266.084707404,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2010","2010","CHL03","Región de Atacama","_T","Ambos sexos",335038.258433021,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2010","2010","CHL03","Región de Atacama","M","Hombres",386960.94078921,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2010","2010","CHL03","Región de Atacama","F","Mujeres",240969.824334519,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2010","2010","CHL04","Región de Coquimbo","_T","Ambos sexos",257973.96052614,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2010","2010","CHL04","Región de Coquimbo","M","Hombres",309054.569065689,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2010","2010","CHL04","Región de Coquimbo","F","Mujeres",231790.926799267,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2010","2010","CHL05","Región de Valparaíso","_T","Ambos sexos",257721.73725617,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2010","2010","CHL05","Región de Valparaíso","M","Hombres",296177.295354618,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2010","2010","CHL05","Región de Valparaíso","F","Mujeres",219063.476667744,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2010","2010","CHL13","Región Metropolitana de Santiago","_T","Ambos sexos",321931.842776759,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2010","2010","CHL13","Región Metropolitana de Santiago","M","Hombres",361163.544736596,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2010","2010","CHL13","Región Metropolitana de Santiago","F","Mujeres",257973.96052614,,
"ESI_YRMEDIANO_OCU","Ingreso mediano real de la población ocupada (proyecciones base 2002)","2010","2010","CHL06","Región del Libertador Gral. Bernardo O'Higgins","_T","Ambos sexos",260559.990711512,,
