"DTI_CL_INDICADOR","Indicador","DTI_CL_TRIMESTRE_MOVIL","Trimestre Móvil","DTI_CL_REGION","Región","DTI_CL_SEXO","Sexo","Value","Flag Codes","Flags"
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V02","2010 ene-mar","_T","Total país","_T","Ambos sexos",57.685307152,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V02","2010 ene-mar","_T","Total país","M","Hombres",71.521646551,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V02","2010 ene-mar","_T","Total país","F","Mujeres",44.344959297,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V02","2010 ene-mar","CHL15","Región de Arica y Parinacota","_T","Ambos sexos",61.85753534,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V02","2010 ene-mar","CHL15","Región de Arica y Parinacota","M","Hombres",74.034088769,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V02","2010 ene-mar","CHL15","Región de Arica y Parinacota","F","Mujeres",50.674152014,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V02","2010 ene-mar","CHL01","Región de Tarapacá","_T","Ambos sexos",65.707463523,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V02","2010 ene-mar","CHL01","Región de Tarapacá","M","Hombres",76.730124986,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V02","2010 ene-mar","CHL01","Región de Tarapacá","F","Mujeres",53.650325513,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V02","2010 ene-mar","CHL02","Región de Antofagasta","_T","Ambos sexos",60.409751237,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V02","2010 ene-mar","CHL02","Región de Antofagasta","M","Hombres",76.39492384,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V02","2010 ene-mar","CHL02","Región de Antofagasta","F","Mujeres",42.804643894,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V02","2010 ene-mar","CHL03","Región de Atacama","_T","Ambos sexos",58.217041871,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V02","2010 ene-mar","CHL03","Región de Atacama","M","Hombres",75.736370213,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V02","2010 ene-mar","CHL03","Región de Atacama","F","Mujeres",39.913603191,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V02","2010 ene-mar","CHL04","Región de Coquimbo","_T","Ambos sexos",55.86801945,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V02","2010 ene-mar","CHL04","Región de Coquimbo","M","Hombres",71.205203507,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V02","2010 ene-mar","CHL04","Región de Coquimbo","F","Mujeres",41.104182936,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V02","2010 ene-mar","CHL05","Región de Valparaíso","_T","Ambos sexos",56.361890577,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V02","2010 ene-mar","CHL05","Región de Valparaíso","M","Hombres",69.052948399,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V02","2010 ene-mar","CHL05","Región de Valparaíso","F","Mujeres",44.304446315,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V02","2010 ene-mar","CHL13","Región Metropolitana de Santiago","_T","Ambos sexos",59.532928213,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V02","2010 ene-mar","CHL13","Región Metropolitana de Santiago","M","Hombres",72.27112323,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V02","2010 ene-mar","CHL13","Región Metropolitana de Santiago","F","Mujeres",47.674921955,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V02","2010 ene-mar","CHL06","Región del Libertador Gral. Bernardo O'Higgins","_T","Ambos sexos",55.775072868,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V02","2010 ene-mar","CHL06","Región del Libertador Gral. Bernardo O'Higgins","M","Hombres",71.022093594,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V02","2010 ene-mar","CHL06","Región del Libertador Gral. Bernardo O'Higgins","F","Mujeres",40.343960507,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V02","2010 ene-mar","CHL07","Región del Maule","_T","Ambos sexos",54.313125832,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V02","2010 ene-mar","CHL07","Región del Maule","M","Hombres",69.287217813,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V02","2010 ene-mar","CHL07","Región del Maule","F","Mujeres",39.652172656,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V02","2010 ene-mar","CHL16","Región de Ñuble","_T","Ambos sexos",52.983963816,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V02","2010 ene-mar","CHL16","Región de Ñuble","M","Hombres",68.368536362,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V02","2010 ene-mar","CHL16","Región de Ñuble","F","Mujeres",38.13079449,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V02","2010 ene-mar","CHL08","Región del Biobío","_T","Ambos sexos",55.093753567,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V02","2010 ene-mar","CHL08","Región del Biobío","M","Hombres",70.359147091,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V02","2010 ene-mar","CHL08","Región del Biobío","F","Mujeres",40.563637111,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V02","2010 ene-mar","CHL09","Región de La Araucanía","_T","Ambos sexos",55.978019574,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V02","2010 ene-mar","CHL09","Región de La Araucanía","M","Hombres",71.537703013,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V02","2010 ene-mar","CHL09","Región de La Araucanía","F","Mujeres",40.976204336,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V02","2010 ene-mar","CHL14","Región de Los Ríos","_T","Ambos sexos",54.478495316,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V02","2010 ene-mar","CHL14","Región de Los Ríos","M","Hombres",67.423913748,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V02","2010 ene-mar","CHL14","Región de Los Ríos","F","Mujeres",41.729508337,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V02","2010 ene-mar","CHL10","Región de Los Lagos","_T","Ambos sexos",57.442177355,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V02","2010 ene-mar","CHL10","Región de Los Lagos","M","Hombres",71.974025349,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V02","2010 ene-mar","CHL10","Región de Los Lagos","F","Mujeres",42.47517552,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V02","2010 ene-mar","CHL11","Región de Aysén del Gral. Carlos Ibáñez del Campo","_T","Ambos sexos",63.142745234,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V02","2010 ene-mar","CHL11","Región de Aysén del Gral. Carlos Ibáñez del Campo","M","Hombres",75.48517208,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V02","2010 ene-mar","CHL11","Región de Aysén del Gral. Carlos Ibáñez del Campo","F","Mujeres",49.026981198,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V02","2010 ene-mar","CHL12","Región de Magallanes y La Antártica Chilena","_T","Ambos sexos",56.766529897,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V02","2010 ene-mar","CHL12","Región de Magallanes y La Antártica Chilena","M","Hombres",71.572190182,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V02","2010 ene-mar","CHL12","Región de Magallanes y La Antártica Chilena","F","Mujeres",40.011811021,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V03","2010 feb-abr","_T","Total país","_T","Ambos sexos",57.698168232,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V03","2010 feb-abr","_T","Total país","M","Hombres",71.469898286,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V03","2010 feb-abr","_T","Total país","F","Mujeres",44.419674709,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V03","2010 feb-abr","CHL15","Región de Arica y Parinacota","_T","Ambos sexos",61.563244295,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V03","2010 feb-abr","CHL15","Región de Arica y Parinacota","M","Hombres",73.69334733,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V03","2010 feb-abr","CHL15","Región de Arica y Parinacota","F","Mujeres",50.430138288,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V03","2010 feb-abr","CHL01","Región de Tarapacá","_T","Ambos sexos",66.374844157,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V03","2010 feb-abr","CHL01","Región de Tarapacá","M","Hombres",76.776128285,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V03","2010 feb-abr","CHL01","Región de Tarapacá","F","Mujeres",54.996590195,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V03","2010 feb-abr","CHL02","Región de Antofagasta","_T","Ambos sexos",61.12425375,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V03","2010 feb-abr","CHL02","Región de Antofagasta","M","Hombres",75.527677767,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V03","2010 feb-abr","CHL02","Región de Antofagasta","F","Mujeres",45.262091601,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V03","2010 feb-abr","CHL03","Región de Atacama","_T","Ambos sexos",58.061915835,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V03","2010 feb-abr","CHL03","Región de Atacama","M","Hombres",75.26650844,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V03","2010 feb-abr","CHL03","Región de Atacama","F","Mujeres",40.087072781,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V03","2010 feb-abr","CHL04","Región de Coquimbo","_T","Ambos sexos",55.070269565,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V03","2010 feb-abr","CHL04","Región de Coquimbo","M","Hombres",70.944630429,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V03","2010 feb-abr","CHL04","Región de Coquimbo","F","Mujeres",39.788907468,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V03","2010 feb-abr","CHL05","Región de Valparaíso","_T","Ambos sexos",56.51559607,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V03","2010 feb-abr","CHL05","Región de Valparaíso","M","Hombres",69.436334826,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V03","2010 feb-abr","CHL05","Región de Valparaíso","F","Mujeres",44.238689583,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V03","2010 feb-abr","CHL13","Región Metropolitana de Santiago","_T","Ambos sexos",60.302362555,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V03","2010 feb-abr","CHL13","Región Metropolitana de Santiago","M","Hombres",72.929491839,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V03","2010 feb-abr","CHL13","Región Metropolitana de Santiago","F","Mujeres",48.546855417,,
"ENE_TP","Tasa de participación (proyecciones base 2002)","2010-V03","2010 feb-abr","CHL06","Región del Libertador Gral. Bernardo O'Higgins","_T","Ambos sexos",56.239378309,,
