,"Índice"
"feb 24",96.93
"ene 24",100.54
"dic 23",103.08
"nov 23",102.03
"oct 23",101.13
"sep 23",96.37
"ago 23",96.77
"jul 23",96.12
"jun 23",96.4
"may 23",95.99
"abr 23",95.14
"mar 23",101
"feb 23",89.82
"ene 23",96.97
"dic 22",106.1
"nov 22",99.28
"oct 22",98.93
"sep 22",93.82
"ago 22",96.32
"jul 22",95.4
"jun 22",96.55
"may 22",100.34
"abr 22",95.31
"mar 22",107.19
"feb 22",90.6
"ene 22",96.25
"dic 21",106.73
"nov 21",103.61
"oct 21",103.75
"sep 21",97.05
"ago 21",100.51
"jul 21",99.66
"jun 21",99.92
"may 21",100.69
"abr 21",100.17
"mar 21",106.95
"feb 21",92.63
"ene 21",99.42
"dic 20",104.68
"nov 20",100.89
"oct 20",102.35
"sep 20",96.48
"ago 20",97.5
"jul 20",96.5
"jun 20",93.4
"may 20",96.82
"abr 20",96.1
"mar 20",103.18
"feb 20",96.29
"ene 20",99.83
"dic 19",107.82
"nov 19",101.36
"oct 19",99.21
"sep 19",94.73
"ago 19",101.71
"jul 19",100.55
"jun 19",96.95
"may 19",102.08
"abr 19",98.83
"mar 19",101.64
"feb 19",90.97
"ene 19",98.95
"dic 18",106.03
"nov 18",104.53
"oct 18",103.19
"sep 18",93.71
"ago 18",99.92
"jul 18",98.05
"jun 18",98.81
"may 18",101.37
"abr 18",97.64
"mar 18",103.65
"feb 18",94.51
"ene 18",98.58
"dic 17",102.4
"nov 17",102.39
"oct 17",100.81
"sep 17",96.45
"ago 17",101.13
"jul 17",97.01
"jun 17",93.73
"may 17",98.19
"abr 17",90.99
"mar 17",95.45
"feb 17",86.23
"ene 17",94.49
"dic 16",102.29
"nov 16",100.29
"oct 16",96.59
"sep 16",95.73
"ago 16",97.19
"jul 16",94.71
"jun 16",95.29
"may 16",99.31
"abr 16",95.83
"mar 16",105.06
"feb 16",95.03
"ene 16",95.1
"dic 15",102.92
"nov 15",99.03
"oct 15",102.25
"sep 15",97.18
"ago 15",93.34
"jul 15",97.27
"jun 15",99.51
"may 15",99.53
"abr 15",98.05
"mar 15",101.56
"feb 15",92.37
"ene 15",99.45
"dic 14",103.65
"nov 14",98.39
"oct 14",102.08
"sep 14",94.14
"ago 14",95.98
"jul 14",96.83
"jun 14",97.35
"may 14",100.63
"abr 14",98.13
"mar 14",101.13
"feb 14",92.14
"ene 14",96.63
"dic 13",103
"nov 13",102.13
"oct 13",102.07
"sep 13",93.56
"ago 13",99.05
"jul 13",98.19
"jun 13",94.82
"may 13",95.98
"abr 13",94.96
"mar 13",100.8
"feb 13",90.7
"ene 13",97.96
"dic 12",100.1
"nov 12",98.3
"oct 12",99.48
"sep 12",90.74
"ago 12",96.34
"jul 12",89.46
"jun 12",92.63
"may 12",95.72
"abr 12",93.49
"mar 12",98.18
"feb 12",88.45
"ene 12",92.12
"dic 11",101.79
"nov 11",95.6
"oct 11",94.73
"sep 11",90.61
"ago 11",91.03
"jul 11",84.54
"jun 11",89.3
"may 11",91.89
"abr 11",89.76
"mar 11",96.06
"feb 11",81.35
"ene 11",91
"dic 10",96.63
"nov 10",92.85
"oct 10",92.09
"sep 10",86.35
"ago 10",91.55
"jul 10",89.53
"jun 10",88.55
"may 10",86.61
"abr 10",87.61
"mar 10",84.25
"feb 10",79.92
"ene 10",83.84
"dic 09",93.14
"nov 09",89.68
"oct 09",92.95
"sep 09",86.27
"ago 09",86.73
"jul 09",82.73
"jun 09",86.09
"may 09",84.74
"abr 09",83.76
"mar 09",88.14
"feb 09",78.12
"ene 09",84.64
