"DTI_CL_UNIDAD_MEDIDA","Unidad de medida","DTI_CL_MES","Mes","Value","Flag Codes","Flags"
"IX","Índice","2016-M01","2016 Enero",88.62,,
"IX","Índice","2016-M02","2016 Febrero",87.85,,
"IX","Índice","2016-M03","2016 Marzo",88.75,,
"IX","Índice","2016-M04","2016 Abril",88.46,,
"IX","Índice","2016-M05","2016 Mayo",88.04,,
"IX","Índice","2016-M06","2016 Junio",87.73,,
"IX","Índice","2016-M07","2016 Julio",87.98,,
"IX","Índice","2016-M08","2016 Agosto",87.99,,
"IX","Índice","2016-M09","2016 Septiembre",88.64,,
"IX","Índice","2016-M10","2016 Octubre",88.49,,
"IX","Índice","2016-M11","2016 Noviembre",88.73,,
"IX","Índice","2016-M12","2016 Diciembre",90.09,,
"IX","Índice","2017-M01","2017 Enero",90.61,,
"IX","Índice","2017-M02","2017 Febrero",90.17,,
"IX","Índice","2017-M03","2017 Marzo",90.34,,
"IX","Índice","2017-M04","2017 Abril",90.85,,
"IX","Índice","2017-M05","2017 Mayo",90.36,,
"IX","Índice","2017-M06","2017 Junio",91.25,,
"IX","Índice","2017-M07","2017 Julio",91.93,,
"IX","Índice","2017-M08","2017 Agosto",92.2,,
"IX","Índice","2017-M09","2017 Septiembre",92.46,,
"IX","Índice","2017-M10","2017 Octubre",92.19,,
"IX","Índice","2017-M11","2017 Noviembre",92.65,,
"IX","Índice","2017-M12","2017 Diciembre",93.19,,
"IX","Índice","2018-M01","2018 Enero",93.49,,
"IX","Índice","2018-M02","2018 Febrero",93.1,,
"IX","Índice","2018-M03","2018 Marzo",93.38,,
"IX","Índice","2018-M04","2018 Abril",93.35,,
"IX","Índice","2018-M05","2018 Mayo",92.97,,
"IX","Índice","2018-M06","2018 Junio",93.02,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2017-M01","2017 Enero",2.2,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2017-M02","2017 Febrero",2.6,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2017-M03","2017 Marzo",1.8,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2017-M04","2017 Abril",2.7,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2017-M05","2017 Mayo",2.6,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2017-M06","2017 Junio",4,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2017-M07","2017 Julio",4.5,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2017-M08","2017 Agosto",4.8,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2017-M09","2017 Septiembre",4.3,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2017-M10","2017 Octubre",4.2,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2017-M11","2017 Noviembre",4.4,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2017-M12","2017 Diciembre",3.4,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2018-M01","2018 Enero",3.2,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2018-M02","2018 Febrero",3.2,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2018-M03","2018 Marzo",3.4,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2018-M04","2018 Abril",2.8,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2018-M05","2018 Mayo",2.9,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2018-M06","2018 Junio",1.9,,
"IX","Índice","2018-M07","2018 Julio",93.17,,
"IX","Índice","2018-M08","2018 Agosto",93.05,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2018-M07","2018 Julio",1.3,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2018-M08","2018 Agosto",0.9,,
"IX","Índice","2018-M09","2018 Septiembre",93.63,,
"IX","Índice","2018-M10","2018 Octubre",93.24,,
"IX","Índice","2018-M11","2018 Noviembre",93.75,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2018-M09","2018 Septiembre",1.3,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2018-M10","2018 Octubre",1.1,,
"12_M_VAR","Variación a 12 meses en porcentaje (%)","2018-M11","2018 Noviembre",1.2,,
"IX","Índice","2018-M12","2018 Diciembre",94.3,,
